GSM7050908_H_1	run_count_cfam_k9_healthy_2_rngr7
GSM7050909_H_2	run_count_cfam_k9_healthy_3_rngr7
GSM7050910_H_3	run_count_cfam_k9_healthy_4_rngr7
GSM7050911_H_4	run_count_cfam_k9_healthy_5_rngr7
GSM7050912_H_5	run_count_cfam_k9_healthy_6_rngr7
GSM7050913_H_6	run_count_cfam_k9_healthy_7_rngr7
GSM7050914_H_7	run_count_cfam_k9_healthy_8_rngr7
GSM7050915_OS_1	run_count_osa_PBMC_1
GSM7050916_OS_2	run_count_OSA_PBMC_2
GSM7050917_OS_3	run_count_k9_PBMC_OSA_3
GSM7050918_OS_4	run_count_osa_PBMC_4
GSM7050919_OS_5	run_count_osa_pbmc_5
GSM7050920_OS_6	run_count_pbmc_tp1_pt1
GSM7050921_OS_7	run_count_pbmc_tp1_pt2
GSM7050922_OS_8	run_count_pbmc_tp1_pt3
GSM7050923_OS_9	run_count_pbmc_tp1_pt4
GSM7050924_OS_10	run_count_pbmc_tp1_pt5
