"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"IL7R",0,2.59516071395112,0.924,0.157,0,"CD4 T cell","IL7R"
"LEF1",0,2.26167704696231,0.854,0.188,0,"CD4 T cell","LEF1"
"INPP4B",0,1.84571271429571,0.972,0.261,0,"CD4 T cell","INPP4B"
"DOCK3",0,1.82658574440103,0.869,0.229,0,"CD4 T cell","DOCK3"
"CAMK4",0,1.75117188923209,0.918,0.256,0,"CD4 T cell","CAMK4"
"GALNT17",0,1.69007152889534,0.626,0.101,0,"CD4 T cell","GALNT17"
"PLCL1",0,1.66142242580859,0.705,0.117,0,"CD4 T cell","PLCL1"
"ATP10A",0,1.57631921162561,0.537,0.112,0,"CD4 T cell","ATP10A"
"CD52",0,1.5635935176223,0.543,0.024,0,"CD4 T cell","CD52"
"LTB",0,1.45298397630849,0.979,0.472,0,"CD4 T cell","LTB"
"CSTA",0,1.42506001616857,0.486,0.074,0,"CD4 T cell","CSTA"
"ICOS",0,1.40485458791135,0.557,0.098,0,"CD4 T cell","ICOS"
"BCL11B",0,1.38734253680221,0.805,0.199,0,"CD4 T cell","BCL11B"
"SKAP1",0,1.33204217311741,0.966,0.394,0,"CD4 T cell","SKAP1"
"MLLT3",0,1.30761626983103,0.79,0.243,0,"CD4 T cell","MLLT3"
"CD3E",0,1.30383086482461,0.982,0.342,0,"CD4 T cell","CD3E"
"JAZF1",0,1.30241929294588,0.818,0.311,0,"CD4 T cell","JAZF1"
"PRKCQ",0,1.29862833386063,0.812,0.26,0,"CD4 T cell","PRKCQ"
"PLAC8",0,1.29860488772759,0.945,0.415,0,"CD4 T cell","PLAC8"
"SATB1",0,1.2189759811128,0.845,0.435,0,"CD4 T cell","SATB1"
"SLC9A9",0,1.20228454001915,0.928,0.48,0,"CD4 T cell","SLC9A9"
"TSPAN5",0,1.19524909774412,0.524,0.105,0,"CD4 T cell","TSPAN5"
"THEMIS",0,1.16133685195896,0.698,0.192,0,"CD4 T cell","THEMIS"
"ITK",0,1.15798737676469,0.82,0.276,0,"CD4 T cell","ITK"
"MAF",0,1.10090840256516,0.436,0.087,0,"CD4 T cell","MAF"
"TRIM22",0,1.08986830091238,0.753,0.342,0,"CD4 T cell","TRIM22"
"CD28",0,1.08724320846187,0.479,0.052,0,"CD4 T cell","CD28"
"CTPS1",0,1.08127339213016,0.454,0.081,0,"CD4 T cell","CTPS1"
"SCML4",0,1.07411983562331,0.823,0.351,0,"CD4 T cell","SCML4"
"CDK6",0,1.06738690465835,0.589,0.266,0,"CD4 T cell","CDK6"
"TOX",0,1.05684699299173,0.658,0.246,0,"CD4 T cell","TOX"
