"clusterID","majorID","colorID","color","labCol","prettyName"
0,"CD4 T cell","Helper","#90D293","Black","CD4 T cell"
1,"CD4 T cell","Helper","#09778D","White","CD4 T cell"
2,"Monocyte","Monocyte","#FF755F","Black","Myeloid"
3,"CD8/NK cell","Cytotoxic","#273871","White","CD8/NK cell"
4,"CD8/NK cell","Cytotoxic","#8C94BF","Black","CD8/NK cell"
5,"CD4 T cell","Helper","#9CD6BA","Black","CD4 T cell"
6,"Neutrophil","Neutrophil","#933C81","White","Myeloid"
7,"CD8/NK cell","Cytotoxic","#3267AD","White","CD8/NK cell"
8,"CD4 T cell","Helper","#148B7D","Black","CD4 T cell"
9,"B cell","Bcell","#645A9F","White","B cell"
10,"Monocyte","Monocyte","#FCE7A0","Black","Myeloid"
11,"CD4 T cell","Helper","#D4F3A3","Black","CD4 T cell"
12,"B cell","Bcell","#8F75C0","Black","B cell"
13,"CD8/NK cell","Cytotoxic","#0066A5","White","CD8/NK cell"
14,"Monocyte","Monocyte","#FFC1AD","Black","Myeloid"
15,"CD4 T cell","Helper","#0E3F5C","White","CD4 T cell"
16,"Granulocyte","Eosinophil","#AF615B","Black","Myeloid"
17,"Monocyte","Monocyte","#F39300","Black","Myeloid"
18,"Neutrophil","Neutrophil","#BD589A","Black","Myeloid"
19,"Monocyte","Monocyte","#F7C252","Black","Myeloid"
20,"CD4 T cell","Helper","#F9FFAF","Black","CD4 T cell"
21,"CD4 T cell","Helper","#43898C","Black","CD4 T cell"
22,"CD4 T cell","Helper","#47D2AF","Black","CD4 T cell"
23,"CD8/NK cell","Cytotoxic","#5D6CAE","White","CD8/NK cell"
24,"CD4 T cell","Helper","#2E4F79","White","CD4 T cell"
25,"CD4 T cell","Helper","#009DA5","Black","CD4 T cell"
26,"DN T cell","Cytotoxic","#5295D4","Black","CD8/NK cell"
27,"Neutrophil","Neutrophil","#D87FAB","Black","Myeloid"
28,"Plasma cell","Bcell","#B696D6","Black","B cell"
29,"Monocyte","Monocyte","#BE1D00","White","Myeloid"
30,"gd T cell","Cytotoxic","#023FA5","White","CD8/NK cell"
31,"Granulocyte","Eosinophil","#DABC9C","Black","Myeloid"
32,"CD8/NK cell","Cytotoxic","#CDE3F0","Black","CD8/NK cell"
33,"B cell","Bcell","#DBB9EC","Black","B cell"
34,"CD4 T cell","Helper","#AFE2A3","Black","CD4 T cell"
35,"Monocyte","Monocyte","#FFFFC8","Black","Myeloid"
36,"Granulocyte","Basophil","#541C3A","White","Myeloid"
37,"DC","DC","#6D0026","White","Myeloid"
38,"CD8/NK cell","Cytotoxic","#00366C","White","CD8/NK cell"
39,"DC","DC","#CC1A36","White","Myeloid"
40,"Cycling T cell","CyclingTcells","#13B9AD","Black","Other"
41,"B cell","Bcell","#F6E2FB","Black","B cell"
42,"CD34+ Unclassified","CMP","#7E7E7E","White","Other"
43,"DC","DC","#7D0025","White","Myeloid"
44,"Neutrophil","Neutrophil","#EEA4BE","Black","Myeloid"
45,"DC","DC","#EB5500","Black","Myeloid"
