"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"HTR1F",0,1.80784239379912,0.657,0.177,0,"0","HTR1F"
"BACH2",1.95323948798119e-255,0.936840735650271,0.99,0.824,3.2193293240906e-251,"0","BACH2"
"TASP1",1.04728537438892e-194,1.20381630761655,0.723,0.442,1.72613575406782e-190,"0","TASP1"
"FCHSD2",4.12413243215862e-183,0.823596590685586,0.959,0.887,6.79739507468383e-179,"0","FCHSD2"
"NRIP1",2.49778540809451e-172,0.998075226253291,0.757,0.457,4.11684990962138e-168,"0","NRIP1"
"CCDC50",4.51158700931429e-158,0.800764476940092,0.878,0.758,7.43599770875181e-154,"0","CCDC50"
"SATB1",7.13660275932148e-147,0.850913761824065,0.755,0.488,1.17625486679137e-142,"0","SATB1"
"HSPB1",3.39589651527524e-135,0.987026310381629,0.427,0.168,5.59711663647665e-131,"0","HSPB1"
"VAV3",8.77251361715309e-114,0.556644782862914,0.969,0.891,1.44588569437917e-109,"0","VAV3"
"ARID5B",4.04919500352844e-112,0.677699278200148,0.904,0.783,6.67388320481557e-108,"0","ARID5B"
"MAML2",5.9072336140505e-108,0.546661500954597,0.978,0.875,9.73630244267803e-104,"0","MAML2"
"PLAC8",5.23068387242341e-105,0.616525162832571,0.728,0.431,8.62121315852827e-101,"0","PLAC8"
"IL21R",3.40623488828171e-104,0.644665788310403,0.255,0.071,5.61415634286591e-100,"0","IL21R"
"AUTS2",3.07362609867774e-103,0.721344436720254,0.792,0.548,5.06595053584066e-99,"0","AUTS2"
"CXCR4",2.33662111512255e-99,0.650023754609537,0.714,0.476,3.85121892194499e-95,"0","CXCR4"
"MEF2C",2.74730059597777e-99,0.478275581405501,0.988,0.962,4.52810084229056e-95,"0","MEF2C"
"SYT1",1.64907222776044e-96,0.72899695955024,0.468,0.215,2.71800084579475e-92,"0","SYT1"
"DOCK9",5.78137099174704e-92,0.59864229405191,0.842,0.718,9.52885566859747e-88,"0","DOCK9"
"LYZ",1.10620318672175e-91,0.502984507269297,0.908,0.762,1.82324409235479e-87,"0","LYZ"
"BANK1",1.80732323620641e-89,0.501586130476787,0.96,0.837,2.97883015791541e-85,"0","BANK1"
"DLA-DRA",1.69350570747885e-84,0.32864735411872,1,0.987,2.79123610706664e-80,"0","DLA-DRA"
"SP140",9.46396398709866e-81,0.421473159912976,0.988,0.889,1.5598505443536e-76,"0","SP140"
"ELMO1",5.29338910817598e-77,0.419454511603426,0.986,0.958,8.72456392809566e-73,"0","ELMO1"
"HVCN1",7.25396130104073e-77,0.497104602196884,0.893,0.749,1.19559790163753e-72,"0","HVCN1"
"SSH2",1.25327306650437e-73,0.500770713775045,0.891,0.82,2.06564466821251e-69,"0","SSH2"
"HOPX",1.45788183222055e-72,0.54084551811249,0.816,0.72,2.40288083586592e-68,"0","HOPX"
"ZNF318",1.80393845537514e-71,0.637206227244481,0.496,0.304,2.97325136214931e-67,"0","ZNF318"
"SMAP2",8.01072523376418e-69,0.544185138413951,0.759,0.657,1.32032773302901e-64,"0","SMAP2"
"GRK3",2.36351733253315e-68,0.469415495718864,0.868,0.738,3.89554926748114e-64,"0","GRK3"
"PRKCA",3.71974161403798e-68,0.564962188146522,0.734,0.61,6.1308781282574e-64,"0","PRKCA"
"PAX5",1.70732998021025e-65,0.488768537744133,0.83,0.675,2.81402127338253e-61,"0","PAX5"
"CHN1",1.71512481399245e-63,0.650285566060394,0.273,0.115,2.82686871842236e-59,"0","CHN1"
"SLC4A7",4.955545082913e-63,0.488434093008791,0.802,0.709,8.1677294056572e-59,"0","SLC4A7"
"CDO1",7.52288431404413e-59,0.646582940208506,0.279,0.126,1.23992179264075e-54,"0","CDO1"
"TCF12",1.72941195256336e-58,0.519157333535936,0.818,0.763,2.85041678021493e-54,"0","TCF12"
"EIF2AK3",1.96010713626761e-58,0.601468935791518,0.695,0.592,3.23064858199627e-54,"0","EIF2AK3"
"ZCCHC7",1.06077359748459e-57,0.430501832033159,0.917,0.878,1.74836704337409e-53,"0","ZCCHC7"
"FOXO1",2.86533559403232e-57,0.518162129224929,0.735,0.636,4.72264612608407e-53,"0","FOXO1"
"CIITA",7.29948407672394e-57,0.459807535890036,0.721,0.576,1.20310096552564e-52,"0","CIITA"
"SELL",2.3172528443763e-55,0.353460913689347,0.938,0.796,3.81929613810103e-51,"0","SELL"
"NEK7",4.76656922865625e-55,0.512984250348808,0.785,0.742,7.85625940267123e-51,"0","NEK7"
"CTSC",6.10690468372437e-55,0.488323413374084,0.801,0.732,1.00654002997145e-50,"0","CTSC"
"AFF3",1.44375340345949e-53,0.327579277951263,0.985,0.899,2.37959435958193e-49,"0","AFF3"
"VPS45",4.3971530477312e-53,0.645772601640309,0.52,0.384,7.24738765327057e-49,"0","VPS45"
"ZEB1",5.2584155129852e-53,0.466424473925238,0.826,0.78,8.66692044850221e-49,"0","ZEB1"
"PLEKHO1",2.9736640680208e-52,0.405597744037671,0.847,0.766,4.90119311691188e-48,"0","PLEKHO1"
"KLHL14",6.22230539279451e-52,0.560645937249839,0.522,0.34,1.02556037484039e-47,"0","KLHL14"
"BCL11A",6.68920920272125e-52,0.451425844836464,0.854,0.783,1.10251546079252e-47,"0","BCL11A"
"STK39",1.18014427450641e-51,0.650356204394851,0.505,0.359,1.94511379324146e-47,"0","STK39"
"PHLPP1",8.50147980193458e-51,0.599667932216919,0.315,0.166,1.40121390095486e-46,"0","PHLPP1"
"FAM53B",9.89179789934953e-51,0.414186860060194,0.796,0.722,1.63036612977079e-46,"0","FAM53B"
"CD74",1.32757800832674e-50,0.314374637405118,0.996,0.977,2.18811407332414e-46,"0","CD74"
"REL",1.42067616210559e-50,0.461360819487809,0.781,0.681,2.34155845038244e-46,"0","REL"
"HLA-DQB2",1.89304610920971e-50,0.320310727142545,0.992,0.945,3.12011859719944e-46,"0","HLA-DQB2"
"UBE2E2",5.85262804809434e-50,0.545567599660513,0.775,0.697,9.6463015488691e-46,"0","UBE2E2"
"NR3C2",1.9229433919937e-49,0.507317323327667,0.605,0.432,3.16939529868401e-45,"0","NR3C2"
"DLA-DMA",2.7636296691387e-47,0.400098895762444,0.782,0.673,4.55501442067441e-43,"0","DLA-DMA"
"MAP4K4",6.44539184182267e-46,0.39442542493171,0.828,0.765,1.06232948336921e-41,"0","MAP4K4"
"MPP7",6.45148410270669e-46,0.609155060691156,0.47,0.32,1.06333360980812e-41,"0","MPP7"
"BCL2",6.83561963497608e-46,0.388027477907654,0.932,0.798,1.12664682823676e-41,"0","BCL2"
"SEPTIN11",4.48903291600221e-45,0.464219730617549,0.65,0.551,7.39882405215483e-41,"0","SEPTIN11"
"RCAN1",4.67553756723304e-44,0.542315570769508,0.358,0.216,7.7062210183135e-40,"0","RCAN1"
"CRYBG1",5.17892592541894e-42,0.537465737849502,0.375,0.244,8.5359057102755e-38,"0","CRYBG1"
"ATP8A1",6.36710359415781e-42,0.388026478763364,0.695,0.553,1.04942601438909e-37,"0","ATP8A1"
"ZNF280D",2.38455352405903e-41,0.493338721823884,0.606,0.504,3.9302211183541e-37,"0","ZNF280D"
"CD37",3.65236422579056e-41,0.345342141296061,0.821,0.717,6.01982671694799e-37,"0","CD37"
"PCNX2",9.24107431575504e-41,0.497934155205394,0.366,0.217,1.52311386872275e-36,"0","PCNX2"
"FOXP1",9.43927944000366e-41,0.322950042631613,0.916,0.803,1.5557820373014e-36,"0","FOXP1"
"TMEM37",6.57185490497767e-40,0.439240751009195,0.395,0.253,1.08317312543842e-35,"0","TMEM37"
"LRRK2",6.9132959406693e-40,0.482238031802072,0.464,0.327,1.13944943694111e-35,"0","LRRK2"
"SLCO5A1",9.99704190389829e-40,0.533465566049921,0.286,0.16,1.64771244660052e-35,"0","SLCO5A1"
"ITPR1",1.79247560737029e-39,0.386266319000767,0.83,0.761,2.95435829606771e-35,"0","ITPR1"
"GLIPR1",2.33430082908288e-39,0.448400953820637,0.655,0.576,3.8473946264944e-35,"0","GLIPR1"
"ZNF438",5.73480582552289e-39,0.541700461207828,0.567,0.441,9.45210696162683e-35,"0","ZNF438"
"RFTN1",4.66293884615501e-38,0.425231506878174,0.66,0.55,7.68545580623269e-34,"0","RFTN1"
"ARID1B",5.82308030289579e-37,0.330950281580904,0.897,0.863,9.59760095523284e-33,"0","ARID1B"
"PRKCB",5.40216057705728e-36,0.282833713242665,0.969,0.933,8.90384106310581e-32,"0","PRKCB"
"PPP3CA",1.18425271565203e-35,0.302651506296442,0.902,0.884,1.95188532593768e-31,"0","PPP3CA"
"CDK13",2.30357542808739e-35,0.420314334846473,0.728,0.673,3.79675302057364e-31,"0","CDK13"
"ABHD17B",3.24437190658645e-34,0.494732905141488,0.423,0.308,5.34737377643579e-30,"0","ABHD17B"
"NEDD4L",4.68169889413923e-34,0.420032150336878,0.632,0.548,7.71637611732027e-30,"0","NEDD4L"
"IGFBP7",1.29476489022753e-33,0.462261650429366,0.494,0.373,2.13403149207301e-29,"0","IGFBP7"
"FCER2",2.23415562588943e-33,0.420613849684654,0.509,0.397,3.68233530259095e-29,"0","FCER2"
"PLEKHA2",1.49380940993532e-32,0.356897751894049,0.731,0.644,2.4620966694554e-28,"0","PLEKHA2"
"SESTD1",2.06560131283908e-32,0.483484244414132,0.426,0.308,3.40452408382137e-28,"0","SESTD1"
"TNRC6B",6.70420368883106e-31,0.260839431275981,0.936,0.935,1.10498685199313e-26,"0","TNRC6B"
"SP110",2.62522449567148e-30,0.388507344111536,0.691,0.642,4.32689501376573e-26,"0","SP110"
"SERPINB1",6.62032176529136e-30,0.381942110441673,0.711,0.614,1.09116143335532e-25,"0","SERPINB1"
"TNFRSF13C",9.15011281954817e-30,0.28994139283506,0.896,0.837,1.50812159491793e-25,"0","TNFRSF13C"
"C1orf54",1.12104886854208e-29,0.449411623375093,0.342,0.218,1.84771274513106e-25,"0","C1orf54"
"TMEM156",2.90252225738321e-29,0.481179460854861,0.38,0.277,4.78393718461901e-25,"0","TMEM156"
"UVRAG",1.23238293668715e-28,0.267627333813671,0.9,0.884,2.03121355624776e-24,"0","UVRAG"
"DLA-DOA",1.25222457793224e-28,0.360747569316212,0.599,0.502,2.06391654934791e-24,"0","DLA-DOA"
"HPS3",2.01245250041345e-28,0.374932690177935,0.566,0.476,3.31692421118145e-24,"0","HPS3"
"PECAM1",6.59556735273015e-28,0.412870062951102,0.513,0.398,1.08708141107698e-23,"0","PECAM1"
"CDCA7L",1.11910856068106e-27,0.391029074760036,0.572,0.466,1.84451472971453e-23,"0","CDCA7L"
"ZNF326",6.234328625612e-27,0.325618270165001,0.713,0.703,1.02754204407337e-22,"0","ZNF326"
"ARHGAP26",1.44290112766289e-26,0.383218677175184,0.563,0.48,2.37818963861397e-22,"0","ARHGAP26"
"DIXDC1",2.82860027535412e-26,0.416207628963449,0.381,0.276,4.66209897383866e-22,"0","DIXDC1"
"STK3",3.36246352790988e-26,0.434994273248263,0.407,0.299,5.54201238670106e-22,"0","STK3"
"SNX3",5.51011830266537e-26,0.284076009426147,0.81,0.774,9.08177698645306e-22,"0","SNX3"
