"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"RGS10",0,1.31443926865071,0.894,0.329,0,"0","RGS10"
"PDE3B",0,1.26339248173306,0.918,0.561,0,"0","PDE3B"
"BACH2",0,1.11042669947708,0.961,0.653,0,"0","BACH2"
"LEF1",0,1.05748889325212,0.988,0.812,0,"0","LEF1"
"FAM241A",0,1.00039496191399,0.753,0.389,0,"0","FAM241A"
"LDLRAD4",0,0.943998808851708,0.475,0.195,0,"0","LDLRAD4"
"SELL",0,0.936369503920192,0.963,0.632,0,"0","SELL"
"ZNF536",0,0.927697887973074,0.403,0.107,0,"0","ZNF536"
"RALGPS2",0,0.927680280468672,0.762,0.317,0,"0","RALGPS2"
"ITGA1",0,0.91363271402345,0.818,0.51,0,"0","ITGA1"
"SATB1",0,0.896721150920155,0.976,0.817,0,"0","SATB1"
"CTPS1",0,0.882064155166261,0.711,0.373,0,"0","CTPS1"
"TLE4",0,0.868408101346425,0.746,0.464,0,"0","TLE4"
"CCR7",0,0.866697617744184,0.811,0.437,0,"0","CCR7"
"SCML4",0,0.846208381881954,0.962,0.812,0,"0","SCML4"
"TXK",0,0.780567555474004,0.763,0.447,0,"0","TXK"
"AFF3",0,0.771056982160223,0.952,0.807,0,"0","AFF3"
"CSTA",5.54582692539861e-296,0.763267196831574,0.719,0.405,9.140631938442e-292,"0","CSTA"
"TGFBR2",1.29355365304147e-268,0.741670390829331,0.833,0.658,2.13203513094295e-264,"0","TGFBR2"
"FOXP1",3.27148839854999e-256,0.651225442656868,0.92,0.79,5.39206717849009e-252,"0","FOXP1"
"KANK1",6.22057943845531e-238,0.58285206089225,0.256,0.077,1.0252759030462e-233,"0","KANK1"
"ATP8A1",3.80354107581812e-236,0.597227037803052,0.889,0.738,6.26899640116343e-232,"0","ATP8A1"
"CDC42BPA",4.58059324038878e-224,0.641479355422362,0.358,0.145,7.54973377880879e-220,"0","CDC42BPA"
"SSH2",6.94250164903209e-219,0.517126993600263,0.969,0.913,1.14426312179347e-214,"0","SSH2"
"PRKCE",8.9432446062075e-219,0.603291255456804,0.89,0.735,1.47402557599512e-214,"0","PRKCE"
"ARSB",3.27888313931496e-209,0.711456685942383,0.579,0.345,5.40425519021892e-205,"0","ARSB"
"TRIM22",2.67756666661051e-207,0.571489698187946,0.862,0.721,4.41316537990744e-203,"0","TRIM22"
"SSBP2",1.24860087835635e-199,0.733319251915513,0.589,0.348,2.05794396770694e-195,"0","SSBP2"
"STMN1",1.00672347988082e-194,0.609992738189086,0.794,0.617,1.65928163953957e-190,"0","STMN1"
"TBC1D5",6.96444351154962e-190,0.469417085021573,0.99,0.969,1.14787957957361e-185,"0","TBC1D5"
"MAML3",2.89861729840904e-186,0.664347480900561,0.565,0.318,4.77750103123778e-182,"0","MAML3"
"PLAC8",2.54669709773912e-176,0.405623660707925,0.971,0.937,4.19746615649362e-172,"0","PLAC8"
"CLEC2D",5.05963333268534e-174,0.474152478315576,0.93,0.857,8.33928765893197e-170,"0","CLEC2D"
"CAMK4",2.023651845252e-155,0.43829255701644,0.956,0.907,3.33538297134434e-151,"0","CAMK4"
"OPRM1",2.56023272325062e-151,0.527942051550944,0.495,0.292,4.21977557446168e-147,"0","OPRM1"
"CD52",1.04069673694088e-149,0.543029893845675,0.695,0.505,1.71527636182596e-145,"0","CD52"
"TLE1",4.96745707107329e-142,0.459173693084434,0.332,0.16,8.18736274454299e-138,"0","TLE1"
"ATP10A",1.33655976986239e-140,0.534576544205263,0.709,0.495,2.20291781268719e-136,"0","ATP10A"
"USP12",1.62419659596191e-139,0.511702215957124,0.533,0.341,2.67700082946441e-135,"0","USP12"
"CD84",3.15827695971621e-136,0.507230504132157,0.569,0.387,5.20547208500426e-132,"0","CD84"
"RCAN3",2.25615537572896e-133,0.457980065030507,0.76,0.603,3.71859529027647e-129,"0","RCAN3"
"TNFSF8",1.16001333864434e-132,0.531754463451494,0.655,0.479,1.9119339847536e-128,"0","TNFSF8"
"CARMIL1",3.64745568670703e-132,0.553429533399513,0.388,0.207,6.01173646283052e-128,"0","CARMIL1"
"PDSS1",1.02937957127335e-129,0.483188448138613,0.377,0.203,1.69662340937274e-125,"0","PDSS1"
"RASGRP1",3.66151616143838e-127,0.505630492802734,0.735,0.594,6.03491093728273e-123,"0","RASGRP1"
"FBXW7",5.41204150834231e-125,0.513270266792077,0.834,0.725,8.9201268140498e-121,"0","FBXW7"
"ERRFI1",7.90318856467143e-124,0.443002660454449,0.308,0.154,1.30260353922915e-119,"0","ERRFI1"
"PRKCQ",1.1542482498816e-123,0.439181166511625,0.885,0.798,1.90243196545485e-119,"0","PRKCQ"
"VPS54",2.17939409058147e-122,0.503626228633576,0.597,0.432,3.59207734009638e-118,"0","VPS54"
"KCNQ5",1.31536407478959e-119,0.506106226391946,0.793,0.622,2.16798306806821e-115,"0","KCNQ5"
"TMEM71",5.42298642044101e-119,0.454560360335224,0.449,0.275,8.93816621817087e-115,"0","TMEM71"
"GYG1",2.12642290553413e-115,0.385858035866648,0.32,0.166,3.50477023290135e-111,"0","GYG1"
"ERBIN",5.74996492459386e-112,0.398271603351607,0.918,0.867,9.4770921887156e-108,"0","ERBIN"
"TCF7",1.61216110770838e-111,0.43767651901173,0.666,0.513,2.65716393772496e-107,"0","TCF7"
"SCMH1",2.24866720517761e-111,0.501887684878493,0.524,0.35,3.70625328757373e-107,"0","SCMH1"
"SRPK2",3.38407842814662e-110,0.446401061265049,0.721,0.586,5.57763806527126e-106,"0","SRPK2"
"CDCA7L",9.54308334580448e-110,0.42002002420796,0.393,0.224,1.5728909970555e-105,"0","CDCA7L"
"IL21R",9.646346355834e-108,0.393432004572699,0.378,0.219,1.58991080636856e-103,"0","IL21R"
"PSEN2",2.35177953526635e-107,0.357654502478686,0.299,0.151,3.876203030026e-103,"0","PSEN2"
"TMEM154",1.07308243249533e-106,0.459525416935505,0.566,0.411,1.7686544652388e-102,"0","TMEM154"
"CCDC57",2.83339516054893e-100,0.414556464955444,0.396,0.246,4.67000190361675e-96,"0","CCDC57"
"MLLT3",6.35434642350286e-100,0.421884864991394,0.858,0.77,1.04732337752174e-95,"0","MLLT3"
