"clusterID_sub","clusterID_sub_clean","majorID_sub","colour","labCol","cd4class","title","majorID_sub2"
0,0,"Monocyte, CD4-","#FFAA93","black","other","Monocyte","Monocyte, CD4-"
1,1,"Neutrophil","#EEA4BE","black","other","Neutrophil","Neutrophil"
2,2,"Monocyte, CD4-","#F6B31E","black","other","Monocyte","Monocyte, CD4-"
3,3,"Monocyte, CD4+","#EC5C00","black","other","Monocyte","Monocyte, CD4+"
4,4,"Monocyte, CD4-","#F49900","black","other","Monocyte","Monocyte, CD4-"
5,5,"Eosinophil","#009DA5","black","CD4+Mono","Granulocyte","Eosinophil"
6,6,"Monocyte, CD4-","#F8C964","black","other","Monocyte","Monocyte, CD4-"
7,7,"Neutrophil","#933C81","white","other","Neutrophil","Neutrophil"
8,8,"Monocyte, CD4+","#FDEDAC","black","CD4+Mono","Monocyte","Monocyte, CD4+"
9,9,"Neutrophil","#D87FAB","black","other","Neutrophil","Neutrophil"
10,10,"Monocyte, IFN signature","#FF755F","black","other","Monocyte","Monocyte, IFN signature"
11,11,"Monocyte, CD4-","#DD3900","black","other","Monocyte","Monocyte, CD4-"
12,12,"PMN-MDSC","pink","black","other","Neutrophil","PMN-MDSC"
13,13,"M-MDSC","#F17D00","black","CD4+Mono","Monocyte","M-MDSC"
14,14,"Myeloid cDC2","#6D0026","white","other","Dendritic cell","DC"
15,22,"exclude","grey",NA,"other","Low quality","exclude"
16,15,"Eosinophil","#82E6AE","black","other","Granulocyte","Eosinophil"
17,16,"Basophil","#AF615B","black","other","Granulocyte","Basophil"
18,22,"exclude","grey",NA,"other","Low quality","exclude"
19,17,"Plasmacytoid DC","#C12000","white","other","Dendritic cell","DC"
20,18,"Pre-DC","#7D0025","white","other","Dendritic cell","DC"
21,19,"Unclassified DC","#AC0535","white","other","Dendritic cell","DC"
22,20,"Neutrophil","#F3CAD2","black","other","Neutrophil","Neutrophil"
23,21,"Myeloid cDC1","#A0060A","white","other","Dendritic cell","DC"
