"clusterID","majorID","colorID","color","labCol"
0,"Myeloid","Monocyte","#FF755F","Black"
1,"CD4 T cell","CD4 T cell","#90D293","Black"
2,"CD4 T cell","CD4 T cell","#09778D","White"
3,"Bcell","B cell","#645A9F","White"
4,"Myeloid","Neutrophil","#933C81","White"
5,"CD8/NK cell","CD8/NK cell","#273871","White"
6,"CD8/NK cell","CD8/NK cell","#8C94BF","Black"
7,"CD4 T cell","CD4 T cell","#9CD6BA","Black"
8,"CD4 T cell","CD4 T cell","#148B7D","Black"
9,"Myeloid","Neutrophil","#BD589A","Black"
10,"CD8/NK cell","CD8/NK cell","#3267AD","White"
11,"CD8/NK cell","CD8/NK cell","#0066A5","White"
12,"CD4 T cell","CD4 T cell","#D4F3A3","Black"
13,"CD4 T cell","CD4 T cell","#0E3F5C","White"
14,"Myeloid","Monocyte","#FCE7A0","Black"
15,"Myeloid","Monocyte","#FFC1AD","Black"
16,"Bcell","B cell","#8F75C0","Black"
17,"CD4 T cell","CD4 T cell","#F9FFAF","Black"
18,"Myeloid","Eosinophil","#AF615B","Black"
19,"CD8/NK cell","CD8/NK cell","#5D6CAE","White"
20,"CD4 T cell","CD4 T cell","#43898C","Black"
21,"CD4 T cell","CD4 T cell","#47D2AF","Black"
22,"Myeloid","Basophil","#541C3A","White"
23,"CD8/NK cell","CD8/NK cell","#5295D4","Black"
24,"Bcell","B cell","#B696D6","Black"
25,"Myeloid","DC","#6D0026","White"
26,"CD4 T cell","CD4 T cell","#2E4F79","White"
27,"Bcell","B cell","#DBB9EC","Black"
28,"CD4 T cell","CD4 T cell","#009DA5","Black"
29,"gd T cell","gd T cell","#00366C","White"
30,"Bcell","B cell","purple","Black"
31,"CD4 T cell","CD4 T cell","#AFE2A3","Black"
32,"Myeloid","DC","#EB5500","Black"
33,"CD8/NK cell","CD8/NK cell","#023FA5","White"
34,"Myeloid","DC","#7D0025","White"
35,"Myeloid","Monocyte","#F7C252","Black"
36,"Bcell","B cell","#F6E2FB","Black"
37,"CyclingTcell","Cycling T cell","#13B9AD","Black"
38,"Myeloid","Neutrophil","#D87FAB","Black"
39,"Myeloid","DC","#CC1A36","White"
40,"CMP","CD34+ Unclassified","#7E7E7E","White"
41,"Myeloid","Monocyte","#F39300","Black"
