"clusterID_sub","clusterID_sub_clean","colour","labCol","classification","majorID_sub","title"
"0","0","#009DA5","black","CD4+ Naive","Naive","CD4 T cell subtypes"
"1","1","#09778D","white","CD4+ Naive","Naive","CD4 T cell subtypes"
"2","2","#9CD6BA","black","CD4+ Th1","Th1","CD4 T cell subtypes"
"3","3","#148B7D","white","CD4+ Effector memory","T effector memory","CD4 T cell subtypes"
"4","4","#D4F3A3","black","CD4+ Th2","Th2","CD4 T cell subtypes"
"5","5","#0E3F5C","white","CD4+ Central memory","T central memory","CD4 T cell subtypes"
"6","6","#F9FFAF","black","CD4+ Central memory","T central memory","CD4 T cell subtypes"
"7","7","#43898C","white","CD4+ Th17","Th17","CD4 T cell subtypes"
"8","8","#47D2AF","black","CD4+ Activated (TNFRSF4+)","Activated","CD4 T cell subtypes"
"9","9","#2E4F79","white","CD4+ Treg","T reg","CD4 T cell subtypes"
"10","10","#90D293","black","CD4+ Activated (CCR5+)","Activated","CD4 T cell subtypes"
"11","11","#AFE2A3","black","CD4+ Naive","Naive","CD4 T cell subtypes"
"12","12","#D1FBD4","black","CD4+ Treg (IL2RA+)","T reg","CD4 T cell subtypes"
"13","15","grey",NA,"Low quality","exclude","CD4 T cell subtypes"
"14","13","#0B4151","white","CD4+ Activated Th2 (IL2RA+)","Th2","CD4 T cell subtypes"
"15","14","#236474","white","CD4+ IFN signature","IFN signature","CD4 T cell subtypes"
"16","15","grey",NA,"Low quality","exclude","CD4 T cell subtypes"
