"clusterID_sub","clusterID_sub_clean","colour","labCol","classification","majorID_sub","title"
"0","0","#009DA5","black","Naive","CD4+ Naive","CD4 T cell subtypes"
"1","1","#09778D","white","Naive","CD4+ Naive","CD4 T cell subtypes"
"2","2","#9CD6BA","black","TEM, Th1-like","CD4+ TEM, Th1-like","CD4 T cell subtypes"
"3","3","#148B7D","white","TEM","CD4+ TEM","CD4 T cell subtypes"
"4","4","#D4F3A3","black","TEM, Th2-like","CD4+ TEM, Th2-like","CD4 T cell subtypes"
"5","5","#0E3F5C","white","TCM","CD4+ TCM","CD4 T cell subtypes"
"6","6","#F9FFAF","black","TCM","CD4+ TCM","CD4 T cell subtypes"
"7","7","#43898C","white","TEM, Th17-like","CD4+ TEM, Th17-like","CD4 T cell subtypes"
"8","8","#47D2AF","black","TEM","CD4+ TEM","CD4 T cell subtypes"
"9","9","#2E4F79","white","Treg","CD4+ T reg","CD4 T cell subtypes"
"10","10","#90D293","black","TEM","CD4+ TEM","CD4 T cell subtypes"
"11","11","#AFE2A3","black","Naive","CD4+ Naive","CD4 T cell subtypes"
"12","12","#D1FBD4","black","Treg","CD4+ T reg","CD4 T cell subtypes"
"13","15","grey",NA,"Low quality","exclude","CD4 T cell subtypes"
"14","13","#0B4151","white","TEM, Th2-like","CD4+ TEM, Th2-like","CD4 T cell subtypes"
"15","14","#236474","white","IFN signature","CD4+, IFN signature","CD4 T cell subtypes"
"16","15","grey",NA,"Low quality","exclude","CD4 T cell subtypes"
