"Var1","Freq","clusterID_final","colour","classification","majorGroup","labCol","newName"
"Monocyte, CD4-",8837,0,"#FFAA93","Monocyte, CD4-","Myeloid","black","0_Monocyte, CD4-"
"CD8+ Effector",7370,1,"#0066A5","CD8+ Effector","T cell","white","1_CD8+ Effector"
"CD4+ Naive",7315,2,"#009DA5","CD4+ Naive","T cell","black","2_CD4+ Naive"
"CD4+ TEM",5278,3,"#148B7D","CD4+ TEM","T cell","white","3_CD4+ TEM"
"Neutrophil",4918,4,"#EEA4BE","Neutrophil","Myeloid","black","4_Neutrophil"
"CD8+ Naive",4535,5,"#99BFEF","CD8+ Naive","T cell","black","5_CD8+ Naive"
"Naive B cell",3942,6,"#8A72BD","Naive B cell","B cell","black","6_Naive B cell"
"CD4+ TCM",3847,7,"#0E3F5C","CD4+ TCM","T cell","white","7_CD4+ TCM"
"CD4+ TEM, Th2-like",2977,8,"#D4F3A3","CD4+ TEM, Th2-like","T cell","black","8_CD4+ TEM, Th2-like"
"Monocyte, CD4+",2937,9,"#EC5C00","Monocyte, CD4+","Myeloid","black","9_Monocyte, CD4+"
"CD4+ TEM, Th1-like",2731,10,"#9CD6BA","CD4+ TEM, Th1-like","T cell","black","10_CD4+ TEM, Th1-like"
"CD8+ Memory",2395,11,"#5D6CAE","CD8+ Memory","T cell","white","11_CD8+ Memory"
"CD4+ T reg",2124,12,"#2E4F79","CD4+ T reg","T cell","white","12_CD4+ T reg"
"Eosinophil",2020,13,"#009DA5","Eosinophil","Myeloid","black","13_Eosinophil"
"CD4+ TEM, Th17-like",1484,14,"#43898C","CD4+ TEM, Th17-like","T cell","white","14_CD4+ TEM, Th17-like"
"Class switched B cell",1254,15,"#645A9F","Class switched B cell","B cell","white","15_Class switched B cell"
"Monocyte, IFN signature",927,16,"#FF755F","Monocyte, IFN signature","Myeloid","black","16_Monocyte, IFN signature"
"DN T cell",794,17,"#8C94BF","DN T cell","T cell","black","17_DN T cell"
"PMN-MDSC",786,18,"pink","PMN-MDSC","Myeloid","black","18_PMN-MDSC"
"M-MDSC",724,19,"#F17D00","M-MDSC","Myeloid","black","19_M-MDSC"
"Plasma cell",655,20,"#6B56A7","Plasma cell","B cell","white","20_Plasma cell"
"Myeloid cDC2",644,21,"#6D0026","Myeloid cDC2","Myeloid","white","21_Myeloid cDC2"
"Immature B cell",591,22,"#AE8FD1","Immature B cell","B cell","black","22_Immature B cell"
"Activated B cell",578,23,"#C8C3E2","Activated B cell","B cell","black","23_Activated B cell"
"gd T cell",497,24,"#023FA5","gd T cell","T cell","White","24_gd T cell"
"NK cell",328,25,"#D0E4FF","NK cell","Other","black","25_NK cell"
"Basophil",291,26,"#AF615B","Basophil","Myeloid","black","26_Basophil"
"CD4+, IFN signature",257,27,"#236474","CD4+, IFN signature","T cell","white","27_CD4+, IFN signature"
"Plasmacytoid DC",256,28,"#C12000","Plasmacytoid DC","Myeloid","white","28_Plasmacytoid DC"
"NK T cell",249,29,"#3267AD","NK T cell","T cell","white","29_NK T cell"
"Pre-DC",209,30,"#7D0025","Pre-DC","Myeloid","white","30_Pre-DC"
"Cycling T cell",190,31,"#13B9AD","Cycling T cell","T cell","Black","31_Cycling T cell"
"CD8+ gd T cell",175,32,"#B3B7CF","CD8+ gd T cell","T cell","black","32_CD8+ gd T cell"
"Unclassified DC",107,33,"#AC0535","Unclassified DC","DC","white","33_Unclassified DC"
"CD34+ Unclassified",106,34,"#7E7E7E","CD34+ Unclassified","Other","White","34_CD34+ Unclassified"
"Myeloid cDC1",87,35,"#A0060A","Myeloid cDC1","Myeloid","white","35_Myeloid cDC1"
"Low quality",1652,100,"grey","Low quality","CD4 T cell",NA,"100_Low quality"
