"Var1","Freq","clusterID_final","colour","classification","majorGroup","labCol","newName"
"Monocyte, CD4-",8837,0,"#FFAA93","Monocyte, CD4-","Monocyte","black","0_Monocyte, CD4-"
"CD8+ Effector",7370,1,"#0066A5","CD8+ Effector","CD8/NK cell","white","1_CD8+ Effector"
"CD4+ Naive",7315,2,"#009DA5","CD4+ Naive","CD4 T cell","black","2_CD4+ Naive"
"Neutrophil",4918,3,"#EEA4BE","Neutrophil","Granulocyte","black","3_Neutrophil"
"CD8+ Naive",4535,4,"#99BFEF","CD8+ Naive","CD8/NK cell","black","4_CD8+ Naive"
"Naive B cell",3942,5,"#8A72BD","Naive B cell","B cell","black","5_Naive B cell"
"CD4+ Central memory",3847,6,"#0E3F5C","CD4+ Central memory","CD4 T cell","white","6_CD4+ Central memory"
"Monocyte, CD4+",2937,7,"#EC5C00","Monocyte, CD4+","Monocyte","black","7_Monocyte, CD4+"
"CD4+ Th1",2731,8,"#9CD6BA","CD4+ Th1","CD4 T cell","black","8_CD4+ Th1"
"CD4+ Effector memory",2643,9,"#148B7D","CD4+ Effector memory","CD4 T cell","white","9_CD4+ Effector memory"
"CD4+ Th2",2619,10,"#D4F3A3","CD4+ Th2","CD4 T cell","black","10_CD4+ Th2"
"CD8+ Memory",2395,11,"#5D6CAE","CD8+ Memory","CD8/NK cell","white","11_CD8+ Memory"
"Eosinophil",2020,12,"#009DA5","Eosinophil","Granulocyte","black","12_Eosinophil"
"CD4+ Th17",1484,13,"#43898C","CD4+ Th17","CD4 T cell","white","13_CD4+ Th17"
"CD4+ Activated (TNFRSF4+)",1451,14,"#47D2AF","CD4+ Activated (TNFRSF4+)","CD4 T cell","black","14_CD4+ Activated (TNFRSF4+)"
"CD4+ Treg",1353,15,"#2E4F79","CD4+ Treg","CD4 T cell","white","15_CD4+ Treg"
"Class switched B cell",1254,16,"#645A9F","Class switched B cell","B cell","white","16_Class switched B cell"
"CD4+ Activated (CCR5+)",1184,17,"#90D293","CD4+ Activated (CCR5+)","CD4 T cell","black","17_CD4+ Activated (CCR5+)"
"Monocyte, IFN signature",927,18,"#FF755F","Monocyte, IFN signature","Monocyte","black","18_Monocyte, IFN signature"
"DN T cell",794,19,"#8C94BF","DN T cell","CD8/NK cell","black","19_DN T cell"
"PMN-MDSC",786,20,"pink","PMN-MDSC","Granulocyte","black","20_PMN-MDSC"
"CD4+ Treg (IL2RA+)",771,21,"#D1FBD4","CD4+ Treg (IL2RA+)","CD4 T cell","black","21_CD4+ Treg (IL2RA+)"
"M-MDSC",724,22,"#F17D00","M-MDSC","Monocyte","black","22_M-MDSC"
"Plasma cell",655,23,"#6B56A7","Plasma cell","B cell","white","23_Plasma cell"
"Myeloid cDC2",644,24,"#6D0026","Myeloid cDC2","DC","white","24_Myeloid cDC2"
"Immature B cell",591,25,"#AE8FD1","Immature B cell","B cell","black","25_Immature B cell"
"Activated B cell",578,26,"#C8C3E2","Activated B cell","B cell","black","26_Activated B cell"
"gd T cell",497,27,"#023FA5","gd T cell","Miscellaneous","White","27_gd T cell"
"CD4+ Activated Th2 (IL2RA+)",358,28,"#0B4151","CD4+ Activated Th2 (IL2RA+)","CD4 T cell","white","28_CD4+ Activated Th2 (IL2RA+)"
"NK cell",328,29,"#D0E4FF","NK cell","CD8/NK cell","black","29_NK cell"
"Basophil",291,30,"#AF615B","Basophil","Granulocyte","black","30_Basophil"
"CD4+ IFN signature",257,31,"#236474","CD4+ IFN signature","CD4 T cell","white","31_CD4+ IFN signature"
"Plasmacytoid DC",256,32,"#C12000","Plasmacytoid DC","DC","white","32_Plasmacytoid DC"
"NK T cell",249,33,"#3267AD","NK T cell","CD8/NK cell","white","33_NK T cell"
"Pre-DC",209,34,"#7D0025","Pre-DC","DC","white","34_Pre-DC"
"Cycling T cell",190,35,"#13B9AD","Cycling T cell","Miscellaneous","Black","35_Cycling T cell"
"CD8+ Terminal effector",175,36,"#B3B7CF","CD8+ Terminal effector","CD8/NK cell","black","36_CD8+ Terminal effector"
"Unclassified DC",107,37,"#AC0535","Unclassified DC","DC","white","37_Unclassified DC"
"CD34+ Unclassified",106,38,"#7E7E7E","CD34+ Unclassified","Miscellaneous","White","38_CD34+ Unclassified"
"Myeloid cDC1",87,39,"#A0060A","Myeloid cDC1","DC","white","39_Myeloid cDC1"
"Low quality",1652,100,"grey","Low quality","CD4 T cell",NA,"100_Low quality"
