"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"TIMP1",0,4.22578669011614,0.936,0.373,0
"SLC25A6",0,-1.96342683841442,0.199,0.893,0
"NAA10",0,3.67971277714173,0.81,0.297,0
"ENSCAFG00000037735",0,2.3207123778846,0.983,0.984,0
"GP6",0,3.94427176414731,0.741,0.033,0
"TFPT",0,-1.67605817708553,0.479,0.963,0
"ENSCAFG00000042176",0,-2.06011170151169,0.062,0.782,0
"DYRK1B",0,-1.68499308405515,0.466,0.936,0
"SEC11C",0,3.67833655559448,0.925,0.662,0
"EZR",0,-2.629064915041,0.075,0.878,0
"RPL18",0,1.69991210659614,0.98,0.934,0
"EMP3",0,-2.1179447426228,0.082,0.813,0
"RPL9",0,-1.78973084929095,0.559,0.928,0
"NRGN",0,3.35367893657024,0.527,0.023,0
"ACOT7",0,3.74060868390927,0.636,0.058,0
"NPM1",0,-2.08258455006609,0.052,0.757,0
"VCL",0,3.41871935377328,0.593,0.096,0
"ENSCAFG00000028613",0,-1.95718116746114,0.061,0.775,0
"VIM",0,-2.81316963780238,0.271,0.913,0
"RSU1",0,3.29278718986779,0.644,0.171,0
"RABGAP1L",0,3.20083732855371,0.744,0.299,0
"SELP",0,3.43568470983724,0.597,0.044,0
"PTPRC",0,-2.65146629407406,0.071,0.891,0
"RPL5",0,-2.22287130871552,0.271,0.907,0
"ACTB",0,1.87896778052394,0.983,0.98,0
"RPS15A",0,-2.11235463689172,0.507,0.935,0
"SRRM2",0,-2.17386149503973,0.066,0.839,0
"ENSCAFG00000008221",0,2.42959384962364,0.785,0.444,0
"CORO1A",0,-2.23481015403423,0.07,0.828,0
"ENSCAFG00000046564",0,-2.13737552292956,0.073,0.838,0
"TLN1",0,2.872955901897,0.886,0.774,0
"GSN",0,3.13308153180443,0.613,0.181,0
"CRIP1",0,-2.33875199231027,0.256,0.894,0
"RPL36AL",0,-2.01429784785881,0.173,0.918,0
"DLA-DRA",0,-2.78712329466772,0.093,0.832,0
"HLA-DQB2",0,-2.55202972391796,0.071,0.797,0
"PSMB9",0,-2.1789674133531,0.052,0.796,0
"AMD1",0,3.7026112275086,0.681,0.16,0
"RPS18",0,-1.93893677700141,0.429,0.911,0
"HSP90AB1",0,-2.10415639393101,0.084,0.803,0
"TREM2",0,4.55387444587165,0.848,0.052,0
"EEF1A1",0,-2.0782919320775,0.268,0.904,0
"RPL10A",0,-2.12029045650465,0.394,0.914,0
"SH3BGRL2",0,3.52271879852106,0.579,0.036,0
"PLEK",0,3.51473128866666,0.749,0.231,0
"RPS26",0,-1.47965320759847,0.652,0.951,0
"SNRPG",0,-2.2178182760053,0.064,0.813,0
"ENSCAFG00000042554",0,3.20167855317972,0.963,0.938,0
"RPS27A",0,-1.74069801537909,0.497,0.921,0
"NACA",0,-2.25390510117148,0.253,0.914,0
"ENSCAFG00000044682",0,-2.13484491298224,0.186,0.86,0
"RPS3A",0,-2.12727308214856,0.457,0.944,0
"PPBP",0,5.4733002026358,0.934,0.123,0
"LCP1",0,-2.67645332218454,0.085,0.887,0
"RPL23",0,-2.06488412327755,0.416,0.942,0
"GALK1",0,-2.30506921783624,0.292,0.972,0
"ITGA2B",0,4.73196665123337,0.876,0.045,0
"SUMO2",0,-1.9525255466552,0.068,0.794,0
"DDX5",0,-2.39478394770649,0.157,0.947,0
"EIF1",0,1.90325517234603,0.979,0.984,0
"ACTG1",0,3.23940405403309,0.968,0.884,0
"RPL7A",0,-2.0429764122646,0.33,0.925,0
"JMJD6",0,3.3477889242582,0.555,0.045,0
"CCL14",0,4.31021940192764,0.732,0.031,0
"GNG11",0,5.30006574793449,0.928,0.14,0
"IGF2BP3",0,3.33445349976185,0.528,0.023,0
"TBXAS1",0,3.39620209577571,0.701,0.182,0
"CNBP",0,-2.20042307236682,0.077,0.858,0
"MARCHF2",0,3.51141379054031,0.644,0.084,0
"TPM4",0,4.59361561629344,0.89,0.218,0
"FAU",0,-1.23891351014278,0.797,0.99,0
"FTH1.1",0,1.73876481772197,0.998,0.981,0
"LSP1",0,-2.22021292532707,0.046,0.775,0
"PRKAR2B",0,3.64468456590398,0.656,0.103,0
"RPSA",0,-1.74377633638287,0.518,0.915,0
"PTMA",0,-2.859825091442,0.16,0.947,0
"SVIP",0,3.44048056145235,0.508,0.043,0
"ENSCAFG00000030286",0,3.9176845598718,0.874,0.201,0
"ADA",0,3.03455533278515,0.504,0.135,0
"MYL9",0,4.49884294414648,0.832,0.057,0
"TUBB1",0,4.89021128186743,0.895,0.055,0
"TUBA1B",0,4.00182607942501,0.905,0.569,0
"METTL7A",0,3.65895074232247,0.785,0.199,0
"THBS1",0,3.75406463755077,0.686,0.062,0
"SERF2",0,2.0818611883025,0.981,0.971,0
"PIF1",0,4.08024331043357,0.751,0.035,0
"GAS2L1",0,3.70890742741316,0.663,0.074,0
"YWHAH",0,3.52928498361514,0.819,0.382,0
"HPSE",0,3.29328361944626,0.511,0.071,0
"ENSCAFG00000015217",0,3.22093181810938,0.639,0.235,0
"ITGA6",0,3.63964350864331,0.582,0.057,0
"RGS18",0,4.05158789479307,0.837,0.176,0
"MT-ND1",0,-2.87651553253159,0.107,0.87,0
"MT-ND2",0,-2.3705268407912,0.095,0.834,0
"MT-CYB",0,-2.48704589241887,0.197,0.874,0
"RPL13A",3.2184617765371e-306,-1.48016302983652,0.736,0.953,4.62428588052851e-302
"NCL",2.64993486597227e-304,-2.01116670272829,0.053,0.753,3.80742641542896e-300
"RTN3",4.34767939246389e-304,2.9543841525731,0.778,0.484,6.24674575109211e-300
"HSPA8",1.56601078166458e-302,-1.84034981373748,0.101,0.819,2.25004429109566e-298
"RPL32",1.68823759857714e-302,-1.45946879479568,0.748,0.944,2.42565978163563e-298
"RPL35A",6.39868058864528e-301,-1.58067567065666,0.656,0.928,9.19362426976554e-297
"S100A11",6.39665267712375e-299,-1.91958336715585,0.121,0.83,9.1907105664914e-295
"NOP53",1.07298320224755e-298,-1.90794138603656,0.074,0.776,1.54166226498928e-294
"RPS6",2.50929184252134e-294,-1.51403921650705,0.667,0.936,3.60535051933466e-290
"FTL",7.8421250228522e-293,1.41882130301208,0.983,0.956,1.1267565232834e-288
"TAP1",9.2369190235464e-292,-1.78833883391097,0.104,0.81,1.32716052530315e-287
"KMT2E",2.20773634560153e-291,-1.82371246946788,0.056,0.741,3.17207558136027e-287
"MYCBP2",3.88785469681116e-291,-2.14047552983938,0.043,0.719,5.58606962837828e-287
"ENSCAFG00000004260",1.22189232222524e-289,2.39743398964079,0.828,0.713,1.75561488857323e-285
